user_id,pred_date
57568,2017-05-01
2910,2017-05-01
95544,2017-05-01
79916,2017-05-01
78647,2017-05-01
78481,2017-05-01
72551,2017-05-01
61735,2017-05-01
60808,2017-05-01
58904,2017-05-01
54578,2017-05-01
45471,2017-05-01
26787,2017-05-01
13565,2017-05-01
3503,2017-05-01
96571,2017-05-01
75756,2017-05-01
58213,2017-05-01
58020,2017-05-01
47229,2017-05-01
33128,2017-05-01
28445,2017-05-01
23252,2017-05-01
8810,2017-05-01
2683,2017-05-01
2266,2017-05-01
66501,2017-05-01
6188,2017-05-01
98553,2017-05-01
98452,2017-05-01
98327,2017-05-01
98082,2017-05-01
96819,2017-05-01
96389,2017-05-01
95574,2017-05-01
91270,2017-05-01
91131,2017-05-01
88274,2017-05-01
88214,2017-05-01
84825,2017-05-01
84577,2017-05-01
83347,2017-05-01
80896,2017-05-01
80166,2017-05-01
80116,2017-05-01
79638,2017-05-01
79257,2017-05-01
78996,2017-05-01
76640,2017-05-01
75097,2017-05-01
74594,2017-05-01
73780,2017-05-01
73567,2017-05-01
72346,2017-05-01
71528,2017-05-01
70346,2017-05-01
69920,2017-05-01
69515,2017-05-01
68747,2017-05-01
68363,2017-05-01
67351,2017-05-01
67085,2017-05-01
66269,2017-05-01
65401,2017-05-01
64287,2017-05-01
63146,2017-05-01
62861,2017-05-01
62519,2017-05-01
61256,2017-05-01
59333,2017-05-01
59014,2017-05-01
57641,2017-05-01
55279,2017-05-01
53333,2017-05-01
49348,2017-05-01
48562,2017-05-01
47598,2017-05-01
47355,2017-05-01
46956,2017-05-01
46795,2017-05-01
45508,2017-05-01
43135,2017-05-01
42922,2017-05-01
42911,2017-05-01
39685,2017-05-01
39464,2017-05-01
38718,2017-05-01
38619,2017-05-01
38125,2017-05-01
36368,2017-05-01
35610,2017-05-01
35471,2017-05-01
35281,2017-05-01
34163,2017-05-01
33291,2017-05-01
32620,2017-05-01
32087,2017-05-01
31418,2017-05-01
29705,2017-05-01
29314,2017-05-01
28926,2017-05-01
28309,2017-05-01
27156,2017-05-01
24935,2017-05-01
24566,2017-05-01
23709,2017-05-01
23581,2017-05-01
23286,2017-05-01
22512,2017-05-01
22363,2017-05-01
22170,2017-05-01
17364,2017-05-01
15576,2017-05-01
15508,2017-05-01
13310,2017-05-01
12671,2017-05-01
11052,2017-05-01
10318,2017-05-01
10239,2017-05-01
8802,2017-05-01
5917,2017-05-01
5518,2017-05-01
5219,2017-05-01
4678,2017-05-01
3823,2017-05-01
2055,2017-05-01
1236,2017-05-01
98263,2017-05-01
98104,2017-05-01
96758,2017-05-01
96054,2017-05-01
94196,2017-05-01
93570,2017-05-01
91969,2017-05-01
91226,2017-05-01
90651,2017-05-01
90267,2017-05-01
89702,2017-05-01
88063,2017-05-01
87618,2017-05-01
87379,2017-05-01
85317,2017-05-01
84469,2017-05-01
84367,2017-05-01
84177,2017-05-01
83351,2017-05-01
82927,2017-05-01
80851,2017-05-01
79070,2017-05-01
78335,2017-05-01
78323,2017-05-01
77666,2017-05-01
76822,2017-05-01
75998,2017-05-01
75428,2017-05-01
75122,2017-05-01
74706,2017-05-01
74399,2017-05-01
73896,2017-05-01
71984,2017-05-01
71679,2017-05-01
70855,2017-05-01
70771,2017-05-01
70453,2017-05-01
70165,2017-05-01
69899,2017-05-01
67355,2017-05-01
67314,2017-05-01
66468,2017-05-01
66105,2017-05-01
64881,2017-05-01
63117,2017-05-01
62230,2017-05-01
61699,2017-05-01
61186,2017-05-01
60865,2017-05-01
60404,2017-05-01
58163,2017-05-01
57779,2017-05-01
57185,2017-05-01
57063,2017-05-01
55886,2017-05-01
55127,2017-05-01
54730,2017-05-01
54450,2017-05-01
54356,2017-05-01
52402,2017-05-01
52354,2017-05-01
51832,2017-05-01
51817,2017-05-01
48773,2017-05-01
47903,2017-05-01
46411,2017-05-01
45009,2017-05-01
44993,2017-05-01
42366,2017-05-01
39654,2017-05-01
38743,2017-05-01
38465,2017-05-01
37960,2017-05-01
36371,2017-05-01
35103,2017-05-01
34134,2017-05-01
34005,2017-05-01
33423,2017-05-01
33370,2017-05-01
31501,2017-05-01
31084,2017-05-01
30134,2017-05-01
26637,2017-05-01
25148,2017-05-01
23387,2017-05-01
23316,2017-05-01
23161,2017-05-01
22904,2017-05-01
22240,2017-05-01
21567,2017-05-01
21276,2017-05-01
21241,2017-05-01
20205,2017-05-01
19940,2017-05-01
19923,2017-05-01
18547,2017-05-01
17526,2017-05-01
16608,2017-05-01
16282,2017-05-01
15391,2017-05-01
15069,2017-05-01
14722,2017-05-01
14152,2017-05-01
14146,2017-05-01
12925,2017-05-01
12054,2017-05-01
11910,2017-05-01
11645,2017-05-01
10808,2017-05-01
10157,2017-05-01
9262,2017-05-01
8423,2017-05-01
6052,2017-05-01
4371,2017-05-01
3715,2017-05-01
3068,2017-05-01
2919,2017-05-01
1888,2017-05-01
1535,2017-05-01
1468,2017-05-01
975,2017-05-01
929,2017-05-01
601,2017-05-01
62,2017-05-01
98807,2017-05-01
98650,2017-05-01
97440,2017-05-01
97102,2017-05-01
96987,2017-05-01
96891,2017-05-01
95746,2017-05-01
95198,2017-05-01
94778,2017-05-01
94358,2017-05-01
94187,2017-05-01
94037,2017-05-01
92748,2017-05-01
92649,2017-05-01
92200,2017-05-01
91796,2017-05-01
91245,2017-05-01
91024,2017-05-01
90462,2017-05-01
90038,2017-05-01
89450,2017-05-01
88893,2017-05-01
88645,2017-05-01
88573,2017-05-01
88416,2017-05-01
88390,2017-05-01
88185,2017-05-01
87966,2017-05-01
87159,2017-05-01
86630,2017-05-01
86250,2017-05-01
86179,2017-05-01
86175,2017-05-01
85818,2017-05-01
85702,2017-05-01
85387,2017-05-01
84821,2017-05-01
83629,2017-05-01
83542,2017-05-01
83453,2017-05-01
82951,2017-05-01
82429,2017-05-01
82205,2017-05-01
81496,2017-05-01
81334,2017-05-01
81159,2017-05-01
81119,2017-05-01
81072,2017-05-01
80844,2017-05-01
80733,2017-05-01
80614,2017-05-01
80444,2017-05-01
79909,2017-05-01
79858,2017-05-01
79759,2017-05-01
79158,2017-05-01
78778,2017-05-01
77832,2017-05-01
77180,2017-05-01
77009,2017-05-01
76797,2017-05-01
76339,2017-05-01
75473,2017-05-01
74978,2017-05-01
74525,2017-05-01
74290,2017-05-01
73599,2017-05-01
73557,2017-05-01
73355,2017-05-01
72490,2017-05-01
72461,2017-05-01
71695,2017-05-01
71643,2017-05-01
71603,2017-05-01
69558,2017-05-01
69413,2017-05-01
68585,2017-05-01
68343,2017-05-01
68283,2017-05-01
68075,2017-05-01
67540,2017-05-01
67336,2017-05-01
67140,2017-05-01
66674,2017-05-01
66655,2017-05-01
66439,2017-05-01
65925,2017-05-01
63985,2017-05-01
63319,2017-05-01
63277,2017-05-01
63242,2017-05-01
63152,2017-05-01
63075,2017-05-01
62678,2017-05-01
62571,2017-05-01
62551,2017-05-01
61363,2017-05-01
61210,2017-05-01
60815,2017-05-01
60535,2017-05-01
60454,2017-05-01
60215,2017-05-01
59832,2017-05-01
58794,2017-05-01
58487,2017-05-01
58384,2017-05-01
57958,2017-05-01
57065,2017-05-01
56966,2017-05-01
56268,2017-05-01
55185,2017-05-01
55017,2017-05-01
54976,2017-05-01
54601,2017-05-01
54108,2017-05-01
53500,2017-05-01
53321,2017-05-01
52967,2017-05-01
52920,2017-05-01
52632,2017-05-01
52424,2017-05-01
52333,2017-05-01
52304,2017-05-01
50793,2017-05-01
50391,2017-05-01
50285,2017-05-01
50115,2017-05-01
49596,2017-05-01
48731,2017-05-01
47926,2017-05-01
47866,2017-05-01
47859,2017-05-01
47372,2017-05-01
47090,2017-05-01
46757,2017-05-01
46492,2017-05-01
46399,2017-05-01
46357,2017-05-01
45519,2017-05-01
43431,2017-05-01
43353,2017-05-01
43038,2017-05-01
43036,2017-05-01
42638,2017-05-01
41538,2017-05-01
41282,2017-05-01
41274,2017-05-01
40542,2017-05-01
40374,2017-05-01
39962,2017-05-01
39926,2017-05-01
39817,2017-05-01
39107,2017-05-01
38883,2017-05-01
38844,2017-05-01
38244,2017-05-01
38106,2017-05-01
37193,2017-05-01
37092,2017-05-01
36964,2017-05-01
36900,2017-05-01
36686,2017-05-01
36226,2017-05-01
36220,2017-05-01
35801,2017-05-01
35715,2017-05-01
35620,2017-05-01
34927,2017-05-01
34553,2017-05-01
33848,2017-05-01
33259,2017-05-01
33107,2017-05-01
33081,2017-05-01
32969,2017-05-01
32849,2017-05-01
32521,2017-05-01
32382,2017-05-01
31910,2017-05-01
31588,2017-05-01
30349,2017-05-01
29551,2017-05-01
29032,2017-05-01
28382,2017-05-01
27941,2017-05-01
27642,2017-05-01
27397,2017-05-01
27116,2017-05-01
26533,2017-05-01
26497,2017-05-01
26167,2017-05-01
25648,2017-05-01
25570,2017-05-01
25510,2017-05-01
25433,2017-05-01
25413,2017-05-01
24931,2017-05-01
24883,2017-05-01
24695,2017-05-01
24336,2017-05-01
23903,2017-05-01
23773,2017-05-01
23410,2017-05-01
22780,2017-05-01
22243,2017-05-01
21812,2017-05-01
21740,2017-05-01
21655,2017-05-01
21553,2017-05-01
21320,2017-05-01
20698,2017-05-01
20504,2017-05-01
19526,2017-05-01
19485,2017-05-01
19236,2017-05-01
19008,2017-05-01
16425,2017-05-01
16171,2017-05-01
15727,2017-05-01
15624,2017-05-01
15521,2017-05-01
15243,2017-05-01
15143,2017-05-01
15137,2017-05-01
14270,2017-05-01
14249,2017-05-01
13537,2017-05-01
11912,2017-05-01
9906,2017-05-01
9598,2017-05-01
9108,2017-05-01
8930,2017-05-01
8786,2017-05-01
8196,2017-05-01
8113,2017-05-01
8048,2017-05-01
8047,2017-05-01
6894,2017-05-01
6828,2017-05-01
6765,2017-05-01
6489,2017-05-01
6417,2017-05-01
6205,2017-05-01
5600,2017-05-01
5588,2017-05-01
4259,2017-05-01
4101,2017-05-01
3591,2017-05-01
3521,2017-05-01
3431,2017-05-01
2970,2017-05-01
2742,2017-05-01
2677,2017-05-01
2611,2017-05-01
2217,2017-05-01
1868,2017-05-01
1274,2017-05-01
1140,2017-05-01
51,2017-05-01
