feature,score
total_sales,8179
merchant_coupon_transfer_rate,6905
total_coupon,6310
discount_rate,6266
days_distance,5757
coupon_rate,5720
merchant_mean_distance,5409
discount_man,4851
day_of_month,4637
sales_use_coupon,4476
this_month_user_receive_all_coupon_count,4068
distance,3631
discount_jian,3087
user_merchant_rate,2434
buy_total,2381
coupon_received,2019
this_month_user_receive_same_coupon_count,1746
user_merchant_buy_common,1669
user_merchant_buy_total,1615
this_day_user_receive_all_coupon_count,1503
this_month_user_receive_same_coupon_lastone,1499
user_coupon_transfer_rate,1415
count_merchant,1413
merchant_max_distance,1409
user_merchant_coupon_transfer_rate,1392
merchant_median_distance,1272
buy_use_coupon_rate,1218
avg_user_date_datereceived_gap,1213
user_merchant_any,1142
this_month_user_receive_same_coupon_firstone,1137
max_user_date_datereceived_gap,1089
user_merchant_coupon_buy_rate,839
min_user_date_datereceived_gap,819
user_merchant_received,814
buy_use_coupon,583
weekday4,479
user_merchant_buy_use_coupon,467
user_merchant_common_buy_rate,443
is_weekend,436
weekday2,383
merchant_min_distance,365
weekday3,351
weekday7,319
weekday1,315
weekday5,309
user_min_distance,306
user_mean_distance,299
weekday6,291
user_max_distance,269
this_day_user_receive_same_coupon_count,209
is_man_jian,187
user_median_distance,155
